Informe de campaña
1 de junio de 2026 - 23 de junio de 2026
Estado de la campaña,Campaña,Presupuesto,Nombre del presupuesto,Tipo de presupuesto,Código de moneda,Estado,Motivos del estado,Costo,Clics,Prom. CPC,Valor de conv.,Valor de conv./costo,Todas las conv.,CTR,Porcentaje de impr. de búsqueda,Porcentaje abs. impr. parte sup. búsqueda,% impr. perdidas de la Búsqueda (presupuesto),% impr. perdidas de la Búsqueda (ranking),Impr.,Nivel de optimización,Tipo de estrategia de oferta,Porcentaje de conv.,Conversiones,Costo/conv.
Habilitada,Urgencias Dentales | Puente Alto – La Florida,4000, --,Diariamente,CLP,Apta,,116223,253,459,0.00,0.00,69.00,11.27%,24.85%,< 10%,50.96%,24.19%,"2,244",68.34,Maximizar conversiones,4.74%,12.00,9685
Habilitada,Ortodoncia | Puente Alto – La Florida,7000, --,Diariamente,CLP,Apta (limitada),limitado por el presupuesto,126706,242,524,0.00,0.00,64.50,10.83%,30.71%,< 10%,43.08%,26.21%,"2,235",62.43,Maximizar conversiones,19.63%,47.50,2667
Habilitada,Dentista Puente Alto,2500, --,Diariamente,CLP,Apta (limitada),limitado por el presupuesto,49581,171,290,0.00,0.00,66.83,16.12%,24.84%,< 10%,30.38%,44.78%,"1,061",64.18,Maximizar conversiones,21.54%,36.83,1346
Habilitada,Implantes Dentales | Puente Alto – La Florida,9000, --,Diariamente,CLP,Apta (limitada),no hay suficientes palabras clave relevantes,209684,497,422,0.00,0.00,133.67,19.86%,28.94%,11.17%,59.33%,11.73%,"2,502",57.19,Maximizar conversiones,25.08%,124.67,1682
Total: Campañas, --, --, --, --,CLP, --,,502194,"1,163",432,0.00,0.00,334.00,14.46%,27.44%, --,47.39%,25.17%,"8,042", --, --,19.00%,221.00,2272
Total: Cuenta,,,,,CLP,,,502194,"1,163",432,0.00,0.00,334.00,14.46%,27.44%,,47.39%,25.17%,"8,042",,,19.00%,221.00,2272
Total: Búsqueda,,,,,CLP,,,502194,"1,163",432,0.00,0.00,334.00,14.46%,27.44%,,47.39%,25.17%,"8,042",,,19.00%,221.00,2272
