"Nombre de la campaña","Estado de la entrega","Nivel de la entrega","Tipo de resultado",Resultados,"Coste por resultado","Importe gastado (CLP)",Impresiones,Alcance,"Configuración de atribución","Clasificación por calidad","Clasificación por tasas de interacción","Clasificación por tasa de conversión","Nombre del conjunto de anuncios",Compras,"Coste por compra","CPM (coste por 1000 impresiones)",Frecuencia,"CTR (todos)","CTR (tasa de clics en el enlace)","CPC (todos)","Clics en el enlace","Presupuesto de la campaña","Tipo de presupuesto de la campaña","CPC (Coste por clic en el enlace)","Inicio del informe","Fin del informe"
"Presentación / Trafico / ABO / Brackets, Implantes y Rehabilitación",active,campaign,"Visitas a la página de destino",5408,53.25314349,287993,655920,152504,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,439.0672643,4.30100194,1.48051592,1.19633492,29.65636907,7847,"Con el presupuesto del conjunto de anuncios",,36.70103224,2026-06-01,2026-06-23
"Conversión / Mensajes / CBO / Wsp Rehabilitación",active,campaign,"Conversaciones con mensajes iniciadas",225,1067.04444444,240085,74045,33646,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,3242.42014991,2.20070736,2.57546087,0.55506786,125.89669638,411,10125,Diario,584.14841849,2026-06-01,2026-06-23
"Evaluación / Mensajes / Implantes",active,campaign,"Conversaciones con mensajes iniciadas",94,1824.42553191,171496,58622,17568,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,2925.45460749,3.33686248,1.88666371,0.72839548,155.0596745,427,7500,Diario,401.62997658,2026-06-01,2026-06-23
"Conversión / Mensajes / CBO / Wsp Brackets",active,campaign,"Conversaciones con mensajes iniciadas",123,1307.09756098,160773,63626,26331,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,2526.8443718,2.41639133,1.76028668,0.55323296,143.54732143,352,6750,Diario,456.74147727,2026-06-01,2026-06-23
"Conversión / Mensajes / CBO / Wsp Implantes",active,campaign,"Conversaciones con mensajes iniciadas",80,1327.0125,106161,46503,21621,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,2282.88497516,2.15082559,1.93105821,0.40642539,118.21937639,189,4500,Diario,561.6984127,2026-06-01,2026-06-23
"Evaluación / Mensajes / Rehabilitación",active,campaign,"Conversaciones con mensajes iniciadas",68,1345.75,91511,34423,10589,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,2658.42605235,3.25082633,1.99285362,0.39217965,133.39795918,135,3750,Diario,677.85925926,2026-06-01,2026-06-23
"Evaluación / Mensajes / Brackets",active,campaign,"Conversaciones con mensajes iniciadas",55,650.29090909,35766,21691,12235,"7 días después del clic o 1 día después de la visualización",-,-,-,,,,1648.88663501,1.77286473,1.36462127,0.37803697,120.83108108,82,1500,Diario,436.17073171,2026-06-01,2026-06-23
